Time	Iteration	Average Reward	StdReward	MaxReward	MinReward	r_comm1	r_rad1	Throughput1	Average Throughput	SINR1	SINR_av	Num Transmits 1	Average Num Transmits	Reward1	StdReward1	MaxReward1	MinReward1	Reward2	StdReward2	MaxReward2	MinReward2	Reward3	StdReward3	MaxReward3	MinReward3	Reward4	StdReward4	MaxReward4	MinReward4	Reward5	StdReward5	MaxReward5	MinReward5	Reward6	StdReward6	MaxReward6	MinReward6	Reward7	StdReward7	MaxReward7	MinReward7	Reward8	StdReward8	MaxReward8	MinReward8	TimestepsThisBatch	TimestepsSoFar	Loss 1	Policy Gradient Loss 1	KL Divergence 1	Value Loss 1	Entropy Loss 1
6381.011328697205	406	-3295.4924560546874	2233.170432626732	5025.677734375	-4904.1318359375	10192.799999999948	991.3247987901898	39.929999999999794	12.172937499999964	229.03526007345735	244.68840773159667	0.6609999999999999	0.305125	2262.201318359375	1920.8214919894376	5025.677734375	-625.3394775390625	-4286.4609375	372.26028767685364	-3870.18798828125	-4904.1318359375	-4293.8763671875	461.14174005265744	-3392.37890625	-4644.427734375	-3986.449853515625	217.10001740044834	-3611.10400390625	-4225.72900390625	-4026.267578125	379.1229047000148	-3488.082275390625	-4497.205078125	-4162.426806640625	171.73086746797404	-3984.42919921875	-4467.32421875	-3790.385498046875	196.45469607592204	-3424.46044921875	-4020.2568359375	-4080.27392578125	325.70627888880733	-3461.44873046875	-4334.4931640625	2000	814000	2208.1917649269103	1.2148153693769538e-06	-4.423782229423523e-08	4416.383529853821	3.5969262265353823e-06
6396.654974937439	407	-3614.0422172546387	1797.7487534212237	3257.740478515625	-5131.42822265625	8714.199999999963	1001.8841476896071	40.15999999999982	11.931249999999967	222.9069834831283	244.6678346021958	0.517	0.26875	699.1266174316406	1942.544136327213	3257.740478515625	-1876.604736328125	-4479.79169921875	457.8448635264152	-3933.1396484375	-5131.42822265625	-4175.50869140625	107.35847244889317	-4012.0341796875	-4341.787109375	-4083.64912109375	133.11427186196306	-3931.20361328125	-4290.32421875	-4023.449365234375	376.5663668434	-3710.8759765625	-4748.53466796875	-4264.63037109375	454.44444632228385	-3697.83837890625	-4713.1201171875	-4258.667431640625	226.6338676172912	-3899.548583984375	-4506.66064453125	-4325.76767578125	203.66172097959173	-3976.201171875	-4607.50244140625	2000	816000	2276.1764113426207	-1.0398568051628309e-07	1.3969838619232178e-09	4552.352822685241	1.5140063240790742e-06
6412.691873550415	408	-3502.3604583740234	1873.722665287097	3545.476806640625	-5253.9541015625	9293.799999999965	1010.8219690876167	39.55499999999982	11.952437499999974	201.606023305944	249.24844793192628	0.5595000000000001	0.26225	1207.2239990234375	1258.278105958547	3545.476806640625	-237.84906005859375	-4305.738720703125	281.5799819604961	-4016.07568359375	-4782.259765625	-4484.7125	392.006663229982	-4193.60595703125	-5253.9541015625	-3998.542431640625	441.5290914918229	-3469.619140625	-4794.9169921875	-4196.5001953125	151.47426697918348	-3989.6083984375	-4444.486328125	-4063.00419921875	603.4865694390654	-3079.9716796875	-4847.537109375	-4044.896826171875	271.3839466664434	-3649.378173828125	-4463.7255859375	-4132.71279296875	300.13230119161534	-3770.109375	-4481.7802734375	2000	818000	2135.6201372146606	-4.412525622665697e-10	0.0	4271.240274429321	4.8774598133442413e-08
6428.398251771927	409	-3528.6976303100587	1875.9489841241289	3034.568359375	-5071.8466796875	9298.599999999962	1025.8481516715804	40.082499999999776	12.160937499999964	300.12586345928895	263.8550138243342	0.6495	0.29156250000000006	1091.8145629882813	1459.5009896040417	3034.568359375	-709.142333984375	-3986.740869140625	777.521008005121	-2589.69873046875	-4969.306640625	-4369.49013671875	297.74812238589675	-3826.5458984375	-4683.361328125	-4152.1982421875	420.93769963577626	-3523.388671875	-4718.20263671875	-4236.717822265625	416.96676926365467	-3756.380615234375	-4925.140625	-4133.41220703125	304.9517551200235	-3693.45703125	-4605.8310546875	-4224.644921875	373.8822111254286	-3812.20361328125	-4913.19091796875	-4218.19140625	514.7516030634466	-3517.90283203125	-5071.8466796875	2000	820000	2772.519286727905	-7.549628391889662e-09	0.0	5545.03857345581	1.7088790950024842e-07
6443.94650053978	410	-3514.434555053711	1904.852004154868	2758.25732421875	-4870.83984375	9285.399999999961	1013.6333160292731	43.12849999999982	12.274874999999968	232.45401060899022	237.45007582468662	0.4795	0.28462499999999996	1176.3331787109375	1625.5507882543034	2758.25732421875	-1605.84326171875	-4068.293359375	362.6753664086265	-3451.85693359375	-4564.3623046875	-4005.500390625	537.848790441527	-3095.73486328125	-4592.6005859375	-3976.802685546875	499.77623988374575	-3129.633056640625	-4486.4287109375	-4435.8703125	178.52361589068025	-4189.84423828125	-4665.24951171875	-4215.02578125	395.5481577245297	-3666.8984375	-4748.9482421875	-4222.508935546875	231.58796344084158	-3938.909423828125	-4498.369140625	-4367.808154296875	371.80862400391175	-3722.960205078125	-4870.83984375	2000	822000	2451.829826545715	8.806506412994963e-09	0.0	4903.65965309143	1.9298943468251376e-07
6459.505966663361	411	-3442.936199951172	2062.08832606725	2276.95654296875	-5081.923828125	9701.399999999969	977.9922162195173	40.305999999999855	12.045749999999972	275.42069416954905	248.58229154070915	0.6639999999999999	0.27575	1877.46201171875	330.9517117574039	2276.95654296875	1396.26318359375	-4319.29296875	190.19704380866838	-4164.716796875	-4678.9619140625	-4234.32958984375	614.327430713567	-3172.32568359375	-5081.923828125	-4097.32548828125	500.83718285095586	-3382.154296875	-4803.37890625	-3943.625439453125	350.58313899772173	-3297.146240234375	-4272.01806640625	-4155.838916015625	569.3183089537201	-3453.0380859375	-4931.8330078125	-4211.53427734375	353.70850767559944	-3560.85595703125	-4600.5146484375	-4459.004931640625	400.4481016295174	-3740.147705078125	-4779.1953125	2000	824000	2088.182812690735	1.8818756819527494e-08	0.0	4176.36562538147	2.5420368450486653e-07
6475.228052616119	412	-3705.0466796875	1704.0344509065405	1829.0146484375	-5403.65234375	8308.599999999973	968.783447899786	39.356499999999826	11.65706249999997	215.72204749230644	235.77974470280614	0.6065	0.2814375	558.33212890625	1038.2180841099057	1829.0146484375	-774.143310546875	-4506.006396484375	695.5921961009885	-3437.261962890625	-5403.65234375	-4484.15380859375	312.9120047160959	-4087.32080078125	-4882.2578125	-4030.568505859375	545.4537502252911	-3417.037353515625	-4729.189453125	-4347.935595703125	416.16318366123727	-3683.203369140625	-4997.4833984375	-4421.8974609375	216.3065794023466	-4240.0107421875	-4702.14306640625	-4267.819287109375	262.57916994024373	-3996.7939453125	-4726.6142578125	-4140.32451171875	139.6116265061184	-3882.26904296875	-4289.62109375	2000	826000	2218.675153398514	0.0	0.0	4437.350306797028	1.58920216409116e-10
6490.917345762253	413	-3413.9181518554688	1852.3931533583848	3099.660400390625	-4945.9541015625	9588.599999999946	1040.755840415423	42.891499999999766	12.477562499999966	244.77429260487253	273.2318792960104	0.642	0.285875	1262.552978515625	1240.441403810498	3099.660400390625	-653.48486328125	-3962.939453125	305.44051945167456	-3671.55615234375	-4529.37109375	-4249.485595703125	215.90519119104667	-4030.261962890625	-4655.91455078125	-3931.618505859375	491.28557698226484	-3303.05078125	-4631.4814453125	-4367.887109375	380.78234503116556	-3892.01513671875	-4945.9541015625	-3951.451953125	339.1847892718775	-3330.553466796875	-4328.84716796875	-4039.227783203125	298.804040822588	-3451.551025390625	-4283.984375	-4071.28779296875	149.8427770282235	-3801.5576171875	-4247.568359375	2000	828000	2104.209620809555	-8.095933951013379e-09	0.0	4208.41924161911	8.630030561382142e-08
6506.492718458176	414	-3701.595065307617	1679.1436420208788	1420.557373046875	-4982.3642578125	8565.199999999968	994.7903023720289	38.97849999999983	11.762187499999973	218.39239050857086	255.49026151937346	0.6845000000000001	0.300375	606.8773681640625	664.5201773287309	1420.557373046875	-592.4432373046875	-4146.818505859375	319.7893954606576	-3668.4912109375	-4622.00830078125	-4563.203271484375	387.2846287002014	-3820.194580078125	-4887.20458984375	-4264.9380859375	315.39170292428344	-3907.54345703125	-4773.95703125	-4244.12587890625	446.5254470404774	-3440.8037109375	-4772.951171875	-4145.57900390625	165.95220522136572	-3983.187744140625	-4457.951171875	-4464.081103515625	330.9039307801641	-3978.813720703125	-4982.3642578125	-4390.892041015625	239.98214046518618	-4011.559326171875	-4622.2841796875	2000	830000	1772.1313766479493	0.0	0.0	3544.2627532958986	2.739389479030818e-10
6522.568980932236	415	-3570.356678771973	1858.7097981256568	2930.900146484375	-5096.8955078125	9119.399999999949	1005.5824849227678	38.45399999999982	11.684624999999967	217.63372758629913	235.37384714389844	0.624	0.2854375	1074.7399780273438	1377.9380390152537	2930.900146484375	-1264.275390625	-4227.052294921875	315.962268073052	-3804.902587890625	-4563.7802734375	-4348.1794921875	423.05208921711255	-3670.51123046875	-4850.208984375	-4326.03154296875	430.8728238070573	-3903.90185546875	-5096.8955078125	-4210.59453125	492.9187080213702	-3357.72314453125	-4818.66357421875	-4411.71318359375	73.56723334032684	-4283.66796875	-4496.7822265625	-4133.462744140625	313.24740545318696	-3567.507080078125	-4495.958984375	-3980.559619140625	376.0013897664493	-3398.275146484375	-4449.38232421875	2000	832000	2017.8288486480712	-2.7398111546173e-08	2.3283064365386963e-09	4035.6576972961425	4.700380249513749e-06
